"show_id","type","title","director","cast","country","date_added","release_year","duration","description","genre"
"s2","Movie","7:19","Jorge Michel Grau","""Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato""","Mexico","""December 23, 2016""",2016,93,"""After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.""","Dramas"
"s3","Movie","23:59","Gilbert Chan","""Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim""","Singapore","""December 20, 2018""",2011,78,"""When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.""","Horror Movies"
"s4","Movie","9","Shane Acker","""Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane""","United States","""November 16, 2017""",2009,80,"""In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.""","Action"
"s5","Movie","21","Robert Luketic","""Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin""","United States","""January 1, 2020""",2008,123,"A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.","Dramas"
"s6","TV Show","46","Serdar Akar","""Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu""","Turkey","""July 1, 2017""",2016,1,"""A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.""","International TV"
"s7","Movie","122","Yasir Al Yasiri","""Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad""","Egypt","""June 1, 2020""",2019,95,"""After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.""","Horror Movies"
"s8","Movie","187","Kevin Reynolds","""Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana""","United States","""November 1, 2019""",1997,119,"""After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.""","Dramas"
"s9","Movie","706","Shravan Kumar","""Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak""","India","""April 1, 2019""",2019,118,"""When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.""","Horror Movies"
"s10","Movie","1920","Vikram Bhatt","""Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas""","India","""December 15, 2017""",2008,143,"An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.","Horror Movies"
"s11","Movie","1922","Zak Hilditch","""Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough""","United States","""October 20, 2017""",2017,103,"""A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.""","Dramas"
